max_depth,n_estimators,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,train_rmse,val_rmse,val_acc
2,300,0.1,0.6,0.8,5,1.0,10,0.36366,0.68728,0.36505
2,300,0.1,0.6,0.7,5,1.0,5,0.35483,0.68729,0.30948
2,100,0.1,0.8,0.6,5,0.5,5,0.45229,0.68738,0.31184
2,300,0.05,0.6,0.6,5,0.5,10,0.43438,0.68751,0.35601
2,300,0.05,0.8,0.7,20,0.5,1,0.42327,0.68756,0.37331
2,300,0.05,0.8,0.8,20,1.0,5,0.4327,0.68763,0.3599
2,100,0.1,0.8,0.8,10,0.0,10,0.46265,0.68764,0.38273
2,300,0.05,0.8,0.7,5,1.0,5,0.42043,0.68764,0.3657
2,200,0.1,0.8,0.7,5,0.0,5,0.37286,0.68773,0.3622
2,300,0.1,0.8,0.8,5,1.0,5,0.34673,0.68784,0.37851
3,300,0.05,0.7,0.6,5,1.0,5,0.32296,0.68789,0.41161
3,300,0.1,0.7,0.6,10,0.5,10,0.23768,0.68794,0.37686
3,300,0.05,0.7,0.7,10,0.5,10,0.33496,0.688,0.40609
2,200,0.05,0.6,0.8,10,0.0,10,0.46824,0.68802,0.34635
2,300,0.05,0.6,0.8,20,1.0,5,0.44763,0.68805,0.34844
3,300,0.05,0.7,0.6,5,0.5,10,0.32706,0.68805,0.42053
3,300,0.05,0.8,0.7,5,1.0,1,0.28686,0.68805,0.43694
2,200,0.1,0.8,0.7,5,1.0,1,0.37713,0.68811,0.39158
2,200,0.05,0.8,0.6,20,0.0,1,0.45823,0.68814,0.37711
2,300,0.05,0.8,0.6,20,0.5,1,0.42418,0.68817,0.362
2,300,0.05,0.8,0.7,10,1.0,5,0.42334,0.68817,0.37209
2,300,0.05,0.6,0.8,20,0.0,1,0.43003,0.68823,0.37169
3,300,0.05,0.6,0.7,5,0.0,10,0.3223,0.68828,0.35828
2,300,0.1,0.7,0.8,5,0.5,10,0.34868,0.68834,0.3483
2,200,0.1,0.8,0.8,10,0.5,10,0.40166,0.6884,0.36541
3,200,0.1,0.7,0.7,5,1.0,10,0.29684,0.68842,0.38889
2,300,0.05,0.8,0.7,10,0.5,5,0.41724,0.68844,0.35737
2,300,0.05,0.6,0.6,5,1.0,10,0.43985,0.68847,0.35837
2,300,0.05,0.6,0.6,5,0.0,1,0.39593,0.6886,0.35528
2,300,0.1,0.8,0.8,10,0.0,5,0.32917,0.68872,0.38286
3,300,0.1,0.7,0.8,20,1.0,10,0.28069,0.68872,0.41201
2,300,0.1,0.8,0.7,20,0.0,5,0.34696,0.68877,0.3708
2,200,0.05,0.6,0.8,10,0.5,10,0.4726,0.68882,0.35778
2,300,0.1,0.8,0.7,5,0.0,5,0.32217,0.68883,0.36823
2,300,0.05,0.7,0.8,10,1.0,10,0.43596,0.6889,0.36537
2,300,0.05,0.7,0.8,5,0.5,1,0.39893,0.68892,0.37662
2,300,0.05,0.8,0.7,20,0.5,10,0.43823,0.68895,0.3628
2,200,0.1,0.6,0.8,10,0.5,5,0.39161,0.68897,0.29841
2,200,0.1,0.8,0.6,10,1.0,1,0.38504,0.68905,0.34813
2,300,0.1,0.6,0.7,10,0.0,5,0.33705,0.68905,0.31533
3,300,0.05,0.6,0.8,5,0.5,10,0.3268,0.68906,0.38785
2,200,0.1,0.8,0.7,10,1.0,5,0.39863,0.68913,0.36408
3,300,0.1,0.7,0.8,5,0.0,10,0.19965,0.68914,0.37851
2,200,0.05,0.7,0.7,20,1.0,5,0.47836,0.68916,0.37284
2,200,0.05,0.8,0.8,20,0.0,1,0.45543,0.68916,0.37286
2,300,0.05,0.6,0.8,20,0.5,10,0.4532,0.68917,0.33312
2,300,0.05,0.8,0.8,20,0.5,1,0.42071,0.6892,0.3842
3,300,0.05,0.8,0.8,5,0.5,10,0.31535,0.68925,0.42115
3,300,0.05,0.7,0.6,20,1.0,5,0.36813,0.68926,0.39781
2,300,0.05,0.8,0.6,5,0.0,1,0.39461,0.68928,0.3721
2,300,0.1,0.8,0.7,20,0.0,1,0.33932,0.68934,0.36816
2,300,0.05,0.8,0.8,5,0.5,5,0.41435,0.68935,0.3724
3,300,0.05,0.7,0.6,5,1.0,10,0.34095,0.68935,0.40166
3,300,0.05,0.8,0.8,5,1.0,10,0.32565,0.68942,0.41051
2,200,0.1,0.8,0.7,5,0.5,1,0.36269,0.68948,0.39396
2,300,0.05,0.7,0.8,10,0.5,10,0.43043,0.68949,0.36846
3,200,0.05,0.7,0.7,20,0.5,10,0.42255,0.68951,0.37643
2,300,0.05,0.8,0.8,20,1.0,1,0.42394,0.68953,0.37041
2,300,0.05,0.7,0.7,20,0.5,10,0.44853,0.68959,0.34661
3,200,0.1,0.6,0.6,10,0.0,10,0.30317,0.68965,0.3888
2,200,0.05,0.6,0.8,10,1.0,5,0.46662,0.68968,0.35559
2,200,0.05,0.7,0.7,10,0.0,10,0.46472,0.68968,0.37284
3,300,0.05,0.6,0.7,10,0.0,10,0.33876,0.68974,0.3592
2,300,0.05,0.6,0.6,10,0.0,10,0.43413,0.68975,0.32363
