n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,val_rmse,val_acc
300,4,0.05,0.7,0.7,3,0.0,0.6521581475197847,0.5523777856527758
500,4,0.05,0.85,0.7,5,1.0,0.652193655986653,0.595759829186527
500,6,0.05,0.7,0.7,5,0.1,0.652210770088952,0.5720418252171915
500,6,0.1,0.7,1.0,1,1.0,0.6522326479250437,0.5606142380373705
500,6,0.05,0.7,0.7,3,0.1,0.6524748227216836,0.5559280944529754
500,5,0.05,0.7,0.7,1,0.0,0.6524859354980856,0.5086002084156456
500,5,0.1,0.7,1.0,3,1.0,0.6525171068610904,0.5631534531721549
500,6,0.1,0.7,0.85,3,0.1,0.6526245534847552,0.47186625535343923
500,5,0.05,0.85,1.0,3,0.0,0.6527128962182043,0.5558625836883166
300,6,0.1,0.7,0.85,3,0.1,0.6527792970714316,0.471429340879913
500,4,0.05,0.7,0.7,3,0.0,0.6529312078000367,0.5501278942359278
500,6,0.05,1.0,0.7,5,0.0,0.6529379820253293,0.575155685849064
300,5,0.1,1.0,1.0,3,0.0,0.6529950000995414,0.5269336838207009
300,6,0.05,0.7,0.7,5,0.1,0.6530420195933664,0.5697233997998813
500,5,0.05,0.7,0.85,5,0.0,0.653051371478369,0.5546390009338915
500,6,0.1,0.7,1.0,3,1.0,0.6530587843674622,0.5365042217718045
300,6,0.1,1.0,0.7,5,0.1,0.6530699682111485,0.5585562180210466
500,6,0.1,1.0,0.7,5,0.1,0.6530699682111485,0.5585562180210466
500,5,0.1,1.0,1.0,3,0.0,0.6531564598427595,0.5269507190982031
300,6,0.05,1.0,0.7,5,0.1,0.6532556811980079,0.5373789994043197
500,4,0.1,0.85,0.85,1,0.0,0.6532581804801846,0.5531062295271229
500,4,0.05,0.85,0.85,1,1.0,0.6532865759992462,0.5952698948113512
500,4,0.05,0.7,0.7,3,1.0,0.6533104052843953,0.5928099457368221
300,6,0.05,0.7,0.7,3,0.1,0.6533705441966374,0.5537530581477923
300,4,0.05,0.85,0.85,1,1.0,0.6534084313374124,0.5940825711914475
500,6,0.05,1.0,0.7,5,0.1,0.653417688530918,0.5372967256190545
