n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,val_rmse,val_acc
500,4,0.1,1.0,0.7,1,0.0,0.6043800502194108,0.560574632880115
500,4,0.05,0.85,1.0,1,0.0,0.6044008538618907,0.581113125125379
500,5,0.1,0.7,0.7,5,0.1,0.6044645744025892,0.5742383439361042
300,5,0.1,0.85,1.0,1,1.0,0.6046733418277767,0.5207634027791352
300,5,0.1,0.7,0.7,1,0.1,0.6052754169614467,0.6214179139933331
300,5,0.1,0.85,1.0,5,0.0,0.6054555861722185,0.6184230232635399
500,5,0.1,0.7,0.7,1,0.1,0.6054759781289345,0.6204451665408082
300,4,0.05,0.85,1.0,5,0.1,0.605523098180861,0.5731374615930308
500,6,0.05,0.85,1.0,5,1.0,0.6055774246913804,0.5759757344999699
500,5,0.1,0.85,1.0,5,0.0,0.6056064666040821,0.6177314960156375
500,5,0.1,0.85,1.0,1,1.0,0.605849310633002,0.5207590876455205
500,4,0.1,1.0,1.0,1,0.1,0.6059446101374019,0.5607391521319435
300,4,0.1,1.0,0.85,1,0.1,0.6060284521815671,0.5409694123304729
300,4,0.1,1.0,1.0,1,0.1,0.6062382176592128,0.5601384949511692
300,4,0.1,1.0,1.0,3,0.0,0.6066430539558928,0.5497319878596545
300,4,0.1,0.7,1.0,5,0.1,0.6066499495621196,0.5930392661194743
300,4,0.05,0.85,1.0,3,1.0,0.6070538983120333,0.5672690497283747
300,5,0.05,0.7,0.7,5,0.0,0.6075818596166739,0.5479739779647604
300,4,0.1,0.85,0.85,1,0.0,0.6077015702204941,0.5815319293936411
500,4,0.05,1.0,1.0,1,0.0,0.6077985675814374,0.5640580024283027
300,6,0.05,0.7,0.85,3,1.0,0.6078327060526818,0.6049253350572233
300,4,0.1,0.85,0.7,3,0.0,0.6078372377882811,0.46677299712275844
500,5,0.05,0.7,0.7,5,0.0,0.6081457271735244,0.5493804038349216
300,4,0.1,1.0,0.85,1,1.0,0.6081832490055514,0.5602184701734385
500,4,0.1,1.0,0.85,1,1.0,0.6081832490055514,0.5602184701734385
500,4,0.05,1.0,0.7,5,0.1,0.6082135784923566,0.593236969732105
300,6,0.05,0.7,0.7,3,0.1,0.6082489802167972,0.5607920749569163
300,4,0.05,0.85,0.7,1,0.1,0.6083554232244563,0.5712559186237526
300,6,0.05,0.7,0.7,1,0.0,0.6084641482225779,0.561776401535441
500,4,0.1,1.0,0.85,1,0.1,0.6087756583379247,0.5390803831513828
500,4,0.1,0.7,1.0,5,0.1,0.6088556000429924,0.5915763245781244
300,6,0.05,0.85,0.85,5,0.0,0.6088558119906097,0.5710348791443771
300,4,0.1,0.85,0.7,3,0.1,0.6088891508656548,0.5169285733107738
300,5,0.05,0.85,1.0,1,1.0,0.6091472126337569,0.5966249465164973
500,4,0.05,1.0,1.0,5,0.1,0.6093018830887353,0.5648744135926496
300,4,0.1,0.7,0.7,1,1.0,0.6096505330561516,0.5965635084808977
500,6,0.05,0.7,0.7,3,0.1,0.6098076804035695,0.5618378595298693
300,6,0.05,0.85,1.0,5,0.0,0.6099106410340954,0.596484366423347
500,6,0.05,0.7,0.7,1,0.0,0.6099377166029727,0.5604060448034267
