max_depth,n_estimators,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,train_rmse,val_rmse,val_acc
2,300,0.05,0.7,0.6,10,1.0,10,0.40003153692875754,0.6305763797866003,0.5418878311971619
3,100,0.1,0.7,0.8,10,0.0,10,0.31725938208404403,0.6305794164355961,0.546720308027641
2,200,0.1,0.7,0.7,10,0.5,10,0.3586737514986826,0.6306247715045861,0.5548503578960231
2,100,0.05,0.6,0.6,5,0.5,5,0.49335436100514235,0.6306285120168482,0.5537165842771693
3,300,0.05,0.6,0.6,20,1.0,10,0.34074120229174426,0.6306295093931237,0.5854223633391933
3,200,0.1,0.8,0.7,10,0.0,1,0.18764444651309625,0.6306534864311041,0.5657391093844953
2,200,0.05,0.8,0.8,20,0.0,5,0.42245036274723535,0.6306904378989133,0.56101439560684
2,200,0.05,0.8,0.7,20,0.0,5,0.42860857163622795,0.6307893745360149,0.5719426340659166
3,200,0.1,0.8,0.7,20,0.0,5,0.24397303823719213,0.630818138797438,0.5546866465580084
3,200,0.05,0.6,0.6,20,0.0,5,0.3552817184609371,0.6308287942209383,0.5648480089027925
3,300,0.05,0.8,0.6,5,0.5,1,0.2215505008818335,0.6308553334663044,0.6007263819879975
2,200,0.1,0.6,0.6,10,0.0,1,0.3286479600781087,0.630858267076055,0.5789996067615655
3,300,0.05,0.8,0.7,10,0.0,5,0.2439339796604186,0.6308829663232541,0.6075725605650595
2,200,0.05,0.6,0.6,20,0.0,10,0.44745302024533873,0.6308941169738559,0.5453236081064207
3,300,0.05,0.8,0.8,20,0.0,1,0.2714516411515147,0.6309331960040232,0.5520837394018752
2,300,0.1,0.6,0.8,5,0.5,5,0.28020638465472375,0.6309756591270674,0.5383269144945626
3,100,0.1,0.8,0.6,20,0.0,1,0.3288596308988554,0.6310281392142743,0.5425522769392281
2,200,0.1,0.6,0.8,10,0.5,5,0.3456536498526723,0.6310482413890146,0.5120448113888584
2,200,0.1,0.8,0.6,20,0.0,1,0.3445954060463635,0.6310897436823047,0.5439975983398679
2,300,0.1,0.8,0.6,5,0.0,1,0.249030016865809,0.6310955334169278,0.5735074587903557
3,200,0.05,0.6,0.6,5,0.0,1,0.28288076051576433,0.6311339073603139,0.5629606055877178
2,200,0.1,0.8,0.8,10,0.5,5,0.3366108010892551,0.6311371127537521,0.5474143166978407
2,300,0.1,0.8,0.6,5,1.0,5,0.29722200604954274,0.6311674973526438,0.5778127555044116
2,300,0.05,0.8,0.7,10,0.5,10,0.38814288519482104,0.631171192175115,0.5610028002559218
3,300,0.05,0.6,0.6,10,0.0,1,0.2410226211194017,0.6312051211817724,0.5736165924874518
